DEPCOM;COM;PMUN;PCAP;PTOT
01001;L' Abergement-Clémenciat;776;18;794
01002;L' Abergement-de-Varey;248;1;249
01004;Ambérieu-en-Bugey;14035;393;14428
01005;Ambérieux-en-Dombes;1689;34;1723
01006;Ambléon;111;6;117
01007;Ambronay;2726;115;2841
01008;Ambutrix;752;15;767
01009;Andert-et-Condon;330;9;339
01010;Anglefort;1115;17;1132
01011;Apremont;376;11;387
01012;Aranc;326;4;330
01013;Arandas;144;4;148
01014;Arbent;3367;92;3459
01016;Arbigny;463;5;468
01015;Arboys en Bugey;644;17;661
01017;Argis;442;16;458
01019;Armix;28;1;29
01021;Ars-sur-Formans;1408;30;1438
01022;Artemare;1237;18;1255
01453;Arvière-en-Valromey;713;22;735
01023;Asnières-sur-Saône;66;0;66
01024;Attignat;3211;64;3275
01025;Bâgé-Dommartin;4092;108;4200
01026;Bâgé-le-Châtel;923;60;983
01027;Balan;2684;57;2741
01028;Baneins;602;9;611
01170;Béard-Géovreissiat;1051;28;1079
01029;Beaupont;689;8;697
01030;Beauregard;866;14;880
01032;Béligneux;3333;29;3362
01034;Belley;9103;396;9499
01035;Belleydoux;314;8;322
01031;Bellignat;3624;235;3859
01037;Bénonces;298;4;302
01038;Bény;756;21;777
01039;Béon;454;8;462
01040;Béréziat;496;5;501
01041;Bettant;748;21;769
01042;Bey;279;14;293
01043;Beynost;4613;108;4721
01044;Billiat;622;15;637
01045;Birieux;283;4;287
01046;Biziat;876;9;885
01047;Blyes;1007;25;1032
01245;Bohas-Meyriat-Rignat;913;21;934
01049;La Boisse;3229;38;3267
01050;Boissey;336;6;342
01051;Bolozon;89;1;90
01052;Bouligneux;328;6;334
01053;Bourg-en-Bresse;41527;1779;43306
01054;Bourg-Saint-Christophe;1366;29;1395
01056;Boyeux-Saint-Jérôme;346;5;351
01057;Boz;512;7;519
01058;Brégnier-Cordon;839;13;852
01060;Brénod;509;21;530
01061;Brens;1166;27;1193
01130;Bresse Vallons;2282;45;2327
01062;Bressolles;911;20;931
01063;Brion;521;7;528
01064;Briord;1016;10;1026
01065;Buellas;1782;63;1845
01066;La Burbanche;77;1;78
01067;Ceignes;254;13;267
01068;Cerdon;783;14;797
01069;Certines;1517;40;1557
01071;Cessy;4856;116;4972
01072;Ceyzériat;3157;61;3218
01073;Ceyzérieu;1007;26;1033
01074;Chalamont;2451;33;2484
01075;Chaleins;1342;34;1376
01076;Chaley;130;3;133
01077;Challes-la-Montagne;194;3;197
01078;Challex;1481;17;1498
01079;Champagne-en-Valromey;820;31;851
01080;Champdor-Corcelles;651;14;665
01081;Champfromier;729;21;750
01082;Chanay;625;14;639
01083;Chaneins;910;15;925
01084;Chanoz-Châtenay;844;17;861
01085;La Chapelle-du-Châtelard;388;5;393
01087;Charix;285;10;295
01088;Charnoz-sur-Ain;913;27;940
01089;Château-Gaillard;2138;49;2187
01090;Châtenay;341;4;345
01092;Châtillon-la-Palud;1584;68;1652
01093;Châtillon-sur-Chalaronne;4859;201;5060
01094;Chavannes-sur-Reyssouze;753;12;765
01096;Chaveyriat;1008;29;1037
